id,type,name,player_type,player_type_label,bot_style,bot_style_label,market_focus,algo_pattern,algo_label,capital,capital_label,aggressiveness,patience,sector_bias,defense_threshold,news_sensitivity,trade_frequency,stock_max_pct,bond_max_pct,derivative_max_pct,cash_min_pct,bond_grade,derivative_purpose,stock_style,bond_style,derivative_style,rationale,description
LP-OS-16,LP,Millennium Management,PE_HEDGE,사모펀드,ACTIVE,액티브,OVERSEAS,ARBITRAGER,차익거래형,700000000000000,700조,0.56,0.17,,99.0,0.39,0.90,47.5,13.4,43.1,5.7,고수익채 (정크본드),투기 (방향성 베팅),롱숏 전략. 강세주 매수·약세주 공매도. 모멘텀 타기. 레버리지 활용. 변동성이 수익의 원천.,고수익채(정크본드·딜런스드 디스트레스드 채권) 매입. 부도 위험이 높지만 수익률도 높은 채권 선호. 일부 헷징용 CDS 보유.,공격적 투기. 레버리지 옵션·크레딧 디폴트 스왑(CDS). 방향성 베팅 적극. 숏 선물로 하락 베팅. 변동성 매매(VIX)도 활용.,"헤지펀드는 절대 수익(Absolute Return)이 유일한 목표. 벤치마크 없음. 고객이 위험을 감수할 각오가 되어 있으므로 파생상품·정크본드 비율이 가장 높음. 단, 리스크 관리를 위해 일부 헷징은 병행.",멀티 전략 헤지펀드. 차익+모멘텀 병행.
LP-OS-17,LP,Point72 Asset Management,PE_HEDGE,사모펀드,ACTIVE,액티브,OVERSEAS,MOMENTUM,모멘텀 가속형,500000000000000,500조,0.92,0.16,Biotech,99.0,0.94,0.85,50.6,15.3,40.7,10.4,고수익채 (정크본드),투기 (방향성 베팅),롱숏 전략. 강세주 매수·약세주 공매도. 모멘텀 타기. 레버리지 활용. 변동성이 수익의 원천.,고수익채(정크본드·딜런스드 디스트레스드 채권) 매입. 부도 위험이 높지만 수익률도 높은 채권 선호. 일부 헷징용 CDS 보유.,공격적 투기. 레버리지 옵션·크레딧 디폴트 스왑(CDS). 방향성 베팅 적극. 숏 선물로 하락 베팅. 변동성 매매(VIX)도 활용.,"헤지펀드는 절대 수익(Absolute Return)이 유일한 목표. 벤치마크 없음. 고객이 위험을 감수할 각오가 되어 있으므로 파생상품·정크본드 비율이 가장 높음. 단, 리스크 관리를 위해 일부 헷징은 병행.",바이오 섹터 편향. 모멘텀 투자. 공격적 매매.
LP-OS-18,LP,Two Sigma Investments,PE_HEDGE,사모펀드,ACTIVE,액티브,OVERSEAS,SCALPER,스캘핑형,600000000000000,600조,0.63,0.06,,99.0,0.54,0.95,53.6,8.5,38.5,8.2,고수익채 (정크본드),투기 (방향성 베팅),롱숏 전략. 강세주 매수·약세주 공매도. 모멘텀 타기. 레버리지 활용. 변동성이 수익의 원천.,고수익채(정크본드·딜런스드 디스트레스드 채권) 매입. 부도 위험이 높지만 수익률도 높은 채권 선호. 일부 헷징용 CDS 보유.,공격적 투기. 레버리지 옵션·크레딧 디폴트 스왑(CDS). 방향성 베팅 적극. 숏 선물로 하락 베팅. 변동성 매매(VIX)도 활용.,"헤지펀드는 절대 수익(Absolute Return)이 유일한 목표. 벤치마크 없음. 고객이 위험을 감수할 각오가 되어 있으므로 파생상품·정크본드 비율이 가장 높음. 단, 리스크 관리를 위해 일부 헷징은 병행.",데이터 기반 알고리즘 매매. 고빈도 스캘핑.
LP-OS-19,LP,D. E. Shaw & Co.,PE_HEDGE,사모펀드,ACTIVE,액티브,OVERSEAS,ARBITRAGER,차익거래형,500000000000000,500조,0.60,0.20,,99.0,0.31,0.90,54.4,14.8,34.1,6.9,고수익채 (정크본드),투기 (방향성 베팅),롱숏 전략. 강세주 매수·약세주 공매도. 모멘텀 타기. 레버리지 활용. 변동성이 수익의 원천.,고수익채(정크본드·딜런스드 디스트레스드 채권) 매입. 부도 위험이 높지만 수익률도 높은 채권 선호. 일부 헷징용 CDS 보유.,공격적 투기. 레버리지 옵션·크레딧 디폴트 스왑(CDS). 방향성 베팅 적극. 숏 선물로 하락 베팅. 변동성 매매(VIX)도 활용.,"헤지펀드는 절대 수익(Absolute Return)이 유일한 목표. 벤치마크 없음. 고객이 위험을 감수할 각오가 되어 있으므로 파생상품·정크본드 비율이 가장 높음. 단, 리스크 관리를 위해 일부 헷징은 병행.",차익거래+통계적 모델. 방향성 중립.
LP-OS-20,LP,Man Group (AHL),PE_HEDGE,사모펀드,ACTIVE,액티브,OVERSEAS,MOMENTUM,모멘텀 가속형,400000000000000,400조,0.95,0.22,,99.0,0.95,0.85,46,12.2,32.3,5.9,고수익채 (정크본드),투기 (방향성 베팅),롱숏 전략. 강세주 매수·약세주 공매도. 모멘텀 타기. 레버리지 활용. 변동성이 수익의 원천.,고수익채(정크본드·딜런스드 디스트레스드 채권) 매입. 부도 위험이 높지만 수익률도 높은 채권 선호. 일부 헷징용 CDS 보유.,공격적 투기. 레버리지 옵션·크레딧 디폴트 스왑(CDS). 방향성 베팅 적극. 숏 선물로 하락 베팅. 변동성 매매(VIX)도 활용.,"헤지펀드는 절대 수익(Absolute Return)이 유일한 목표. 벤치마크 없음. 고객이 위험을 감수할 각오가 되어 있으므로 파생상품·정크본드 비율이 가장 높음. 단, 리스크 관리를 위해 일부 헷징은 병행.",트렌드 추종 CTA. 모멘텀 가속화.
LP-OS-21,LP,Allianz Global Investors,INSURANCE_BANK,보험/은행,PASSIVE,패시브,OVERSEAS,VALUE_HOLDER,가치 보유형,700000000000000,700조,0.18,0.91,,6.8,0.17,0.10,22.3,70.1,4.1,13.9,우량채권 (투자등급),헷징 (위험 회피),배당주·대형 우량주만. 시세 차익 추구 불가. 규제상 주식 비중 제한. K-ICS·솔벤시 규제 준수.,가장 보수적. 국채·AAA급 우량 회사채만. 만기 매칭(ALM) 원칙. 정크본드 절대 불매.,"순수 헷징. 이자율 변동 헷징(IR 스왑), 주식 하락 헷징(풋옵션). 투기적 포지션 규제상 금지.","보험료·예금은 고객에게 반드시 돌려주어야 할 돈. 규제(K-ICS, 솔벤시, 바젤)가 주식/파생상품 비중을 엄격히 제한. 원본 보전 + 규제 준수가 최우선이므로 채권 비중이 압도적으로 높음.",독일 보험사 운용. 보수적 가치 투자. 배당주 중심.
LP-OS-22,LP,AXA Investment Managers,INSURANCE_BANK,보험/은행,PASSIVE,패시브,OVERSEAS,VALUE_HOLDER,가치 보유형,500000000000000,500조,0.15,0.94,,5.0,0.19,0.10,21,70,5.9,11.6,우량채권 (투자등급),헷징 (위험 회피),배당주·대형 우량주만. 시세 차익 추구 불가. 규제상 주식 비중 제한. K-ICS·솔벤시 규제 준수.,가장 보수적. 국채·AAA급 우량 회사채만. 만기 매칭(ALM) 원칙. 정크본드 절대 불매.,"순수 헷징. 이자율 변동 헷징(IR 스왑), 주식 하락 헷징(풋옵션). 투기적 포지션 규제상 금지.","보험료·예금은 고객에게 반드시 돌려주어야 할 돈. 규제(K-ICS, 솔벤시, 바젤)가 주식/파생상품 비중을 엄격히 제한. 원본 보전 + 규제 준수가 최우선이므로 채권 비중이 압도적으로 높음.",프랑스 보험사 운용. 보수적 장기 보유.
LP-OS-23,LP,JPMorgan Asset Management,INSURANCE_BANK,보험/은행,PASSIVE,패시브,OVERSEAS,INDEX_TRACKER,인덱스 추종형,800000000000000,800조,0.43,0.80,,99.0,0.23,0.30,22.1,65.1,5.7,14,우량채권 (투자등급),헷징 (위험 회피),배당주·대형 우량주만. 시세 차익 추구 불가. 규제상 주식 비중 제한. K-ICS·솔벤시 규제 준수.,가장 보수적. 국채·AAA급 우량 회사채만. 만기 매칭(ALM) 원칙. 정크본드 절대 불매.,"순수 헷징. 이자율 변동 헷징(IR 스왑), 주식 하락 헷징(풋옵션). 투기적 포지션 규제상 금지.","보험료·예금은 고객에게 반드시 돌려주어야 할 돈. 규제(K-ICS, 솔벤시, 바젤)가 주식/파생상품 비중을 엄격히 제한. 원본 보전 + 규제 준수가 최우선이므로 채권 비중이 압도적으로 높음.",은행 계열 운용. 인덱스+일부 액티브. 보수적.
LP-OS-24,LP,BNY Mellon Investment Mgmt,INSURANCE_BANK,보험/은행,PASSIVE,패시브,OVERSEAS,INDEX_TRACKER,인덱스 추종형,400000000000000,400조,0.31,0.85,,99.0,0.22,0.30,21.3,71.1,4.6,12.3,우량채권 (투자등급),헷징 (위험 회피),배당주·대형 우량주만. 시세 차익 추구 불가. 규제상 주식 비중 제한. K-ICS·솔벤시 규제 준수.,가장 보수적. 국채·AAA급 우량 회사채만. 만기 매칭(ALM) 원칙. 정크본드 절대 불매.,"순수 헷징. 이자율 변동 헷징(IR 스왑), 주식 하락 헷징(풋옵션). 투기적 포지션 규제상 금지.","보험료·예금은 고객에게 반드시 돌려주어야 할 돈. 규제(K-ICS, 솔벤시, 바젤)가 주식/파생상품 비중을 엄격히 제한. 원본 보전 + 규제 준수가 최우선이므로 채권 비중이 압도적으로 높음.",은행 계열. 인덱스 추종 중심.
LP-OS-25,LP,Wellington Management,INVESTMENT_TRUST,투신,ACTIVE,액티브,OVERSEAS,TREND_CHASER,트렌드 추종형,1200000000000000,1200조,0.84,0.33,,99.0,0.88,0.80,79.9,12.8,6,4.4,우량채권 (투자등급),헷징 (위험 회피),주도주·성장주 적극 추종. 펀드 벤치마크 초과 수익(Alpha) 추구. 섹터 로테이션 적극 활용.,투자등급(A- 이상) 회사채·국채. 펀드 안전자산 비중용. 정크본드 불매.,주로 헷징. 일부 ETF 선물로 섹터 비중 조정. 투기적 숏 포지션은 제한적.,펀드 수익률이 벤치마크(코스피/S&P500)를 이겨야 고객 자금이 유입됨. 따라서 주도주 추종이 핵심. 하지만 원본 손실 시 환매 급증 위험으로 파생상품은 헷징 위주로 제한.,대형 액티브 운용사. 주도주 추종.
LP-OS-26,LP,Baillie Gifford,INVESTMENT_TRUST,투신,ACTIVE,액티브,OVERSEAS,TREND_CHASER,트렌드 추종형,400000000000000,400조,0.82,0.31,Technology,99.0,0.86,0.80,78.4,15.2,6.3,3.9,우량채권 (투자등급),헷징 (위험 회피),주도주·성장주 적극 추종. 펀드 벤치마크 초과 수익(Alpha) 추구. 섹터 로테이션 적극 활용.,투자등급(A- 이상) 회사채·국채. 펀드 안전자산 비중용. 정크본드 불매.,주로 헷징. 일부 ETF 선물로 섹터 비중 조정. 투기적 숏 포지션은 제한적.,펀드 수익률이 벤치마크(코스피/S&P500)를 이겨야 고객 자금이 유입됨. 따라서 주도주 추종이 핵심. 하지만 원본 손실 시 환매 급증 위험으로 파생상품은 헷징 위주로 제한.,성장주 편향. 기술 섹터 추종.
LP-OS-27,LP,Aberdeen Standard Investments,INVESTMENT_TRUST,투신,PASSIVE,패시브,OVERSEAS,VALUE_HOLDER,가치 보유형,500000000000000,500조,0.14,0.92,,6.3,0.11,0.10,80.8,13.1,6.5,5,우량채권 (투자등급),헷징 (위험 회피),주도주·성장주 적극 추종. 펀드 벤치마크 초과 수익(Alpha) 추구. 섹터 로테이션 적극 활용.,투자등급(A- 이상) 회사채·국채. 펀드 안전자산 비중용. 정크본드 불매.,주로 헷징. 일부 ETF 선물로 섹터 비중 조정. 투기적 숏 포지션은 제한적.,펀드 수익률이 벤치마크(코스피/S&P500)를 이겨야 고객 자금이 유입됨. 따라서 주도주 추종이 핵심. 하지만 원본 손실 시 환매 급증 위험으로 파생상품은 헷징 위주로 제한.,신흥시장 가치 투자. 보수적 장기 보유.
LP-OS-28,LP,Legal & General Investment Mgmt,PENSION,연기금,PASSIVE,패시브,OVERSEAS,INDEX_TRACKER,인덱스 추종형,600000000000000,600조,0.30,0.82,,99.0,0.22,0.30,68.4,30.6,2.6,5.6,우량채권 (투자등급),헷징 (위험 회피),대형 우량주·블루칩 중심. 장기 보유. 시장 하락 시 저가 매수로 비중 확대.,정부채·AAA급 우량 회사채만 매입. 신용등급 투자급 이하 불매.,헷징 목적만. 주식 포지션 보호용 풋옵션·선물 매도. 투기적 포지션 금지.,국민/공무원 연금 자금은 원본 손실이 곧 사회적 문제. 원본 보전이 최우선이므로 가장 보수적으로 운용. 파생상품은 순수 헷징 용도로만 제한.,영국 연기금 운용. 인덱스 추종.
LP-OS-29,LP,Northern Trust Asset Mgmt,PENSION,연기금,PASSIVE,패시브,OVERSEAS,INDEX_TRACKER,인덱스 추종형,400000000000000,400조,0.34,0.81,,99.0,0.22,0.30,65.1,29.9,3.7,5.3,우량채권 (투자등급),헷징 (위험 회피),대형 우량주·블루칩 중심. 장기 보유. 시장 하락 시 저가 매수로 비중 확대.,정부채·AAA급 우량 회사채만 매입. 신용등급 투자급 이하 불매.,헷징 목적만. 주식 포지션 보호용 풋옵션·선물 매도. 투기적 포지션 금지.,국민/공무원 연금 자금은 원본 손실이 곧 사회적 문제. 원본 보전이 최우선이므로 가장 보수적으로 운용. 파생상품은 순수 헷징 용도로만 제한.,인덱스+멀티팩터. 기계적 비중 조정.
LP-OS-30,LP,Geode Capital Management,PENSION,연기금,PASSIVE,패시브,OVERSEAS,INDEX_TRACKER,인덱스 추종형,800000000000000,800조,0.38,0.80,,99.0,0.15,0.30,64.5,26.2,3.4,4.7,우량채권 (투자등급),헷징 (위험 회피),대형 우량주·블루칩 중심. 장기 보유. 시장 하락 시 저가 매수로 비중 확대.,정부채·AAA급 우량 회사채만 매입. 신용등급 투자급 이하 불매.,헷징 목적만. 주식 포지션 보호용 풋옵션·선물 매도. 투기적 포지션 금지.,국민/공무원 연금 자금은 원본 손실이 곧 사회적 문제. 원본 보전이 최우선이므로 가장 보수적으로 운용. 파생상품은 순수 헷징 용도로만 제한.,Fidelity 계열 인덱스 운용. 기계적 추종.
LP-OS-31,LP,PIMCO,INSURANCE_BANK,보험/은행,PASSIVE,패시브,OVERSEAS,VALUE_HOLDER,가치 보유형,300000000000000,300조,0.18,0.94,채권,5.5,0.14,0.10,20.6,71.6,5.6,12.2,우량채권 (투자등급),헷징 (위험 회피),배당주·대형 우량주만. 시세 차익 추구 불가. 규제상 주식 비중 제한. K-ICS·솔벤시 규제 준수.,가장 보수적. 국채·AAA급 우량 회사채만. 만기 매칭(ALM) 원칙. 정크본드 절대 불매.,"순수 헷징. 이자율 변동 헷징(IR 스왑), 주식 하락 헷징(풋옵션). 투기적 포지션 규제상 금지.","보험료·예금은 고객에게 반드시 돌려주어야 할 돈. 규제(K-ICS, 솔벤시, 바젤)가 주식/파생상품 비중을 엄격히 제한. 원본 보전 + 규제 준수가 최우선이므로 채권 비중이 압도적으로 높음.",채권 중심 운용. 보수적.
LP-OS-32,LP,Schroders,INVESTMENT_TRUST,투신,ACTIVE,액티브,OVERSEAS,TREND_CHASER,트렌드 추종형,300000000000000,300조,0.80,0.41,,99.0,0.95,0.80,77.4,15.3,7,6.4,우량채권 (투자등급),헷징 (위험 회피),주도주·성장주 적극 추종. 펀드 벤치마크 초과 수익(Alpha) 추구. 섹터 로테이션 적극 활용.,투자등급(A- 이상) 회사채·국채. 펀드 안전자산 비중용. 정크본드 불매.,주로 헷징. 일부 ETF 선물로 섹터 비중 조정. 투기적 숏 포지션은 제한적.,펀드 수익률이 벤치마크(코스피/S&P500)를 이겨야 고객 자금이 유입됨. 따라서 주도주 추종이 핵심. 하지만 원본 손실 시 환매 급증 위험으로 파생상품은 헷징 위주로 제한.,영국 운용사. 액티브 트렌드 추종.
LP-OS-33,LP,Amundi Asset Management,INVESTMENT_TRUST,투신,PASSIVE,패시브,OVERSEAS,INDEX_TRACKER,인덱스 추종형,400000000000000,400조,0.33,0.74,,99.0,0.24,0.30,79.4,14.4,5.5,6.3,우량채권 (투자등급),헷징 (위험 회피),주도주·성장주 적극 추종. 펀드 벤치마크 초과 수익(Alpha) 추구. 섹터 로테이션 적극 활용.,투자등급(A- 이상) 회사채·국채. 펀드 안전자산 비중용. 정크본드 불매.,주로 헷징. 일부 ETF 선물로 섹터 비중 조정. 투기적 숏 포지션은 제한적.,펀드 수익률이 벤치마크(코스피/S&P500)를 이겨야 고객 자금이 유입됨. 따라서 주도주 추종이 핵심. 하지만 원본 손실 시 환매 급증 위험으로 파생상품은 헷징 위주로 제한.,유럽 최대 운용사. 인덱스 중심.
LP-OS-34,LP,Pictet Asset Management,INVESTMENT_TRUST,투신,ACTIVE,액티브,OVERSEAS,VALUE_HOLDER,가치 보유형,200000000000000,200조,0.16,0.94,,6.0,0.11,0.10,81.4,13.9,7.2,6,우량채권 (투자등급),헷징 (위험 회피),주도주·성장주 적극 추종. 펀드 벤치마크 초과 수익(Alpha) 추구. 섹터 로테이션 적극 활용.,투자등급(A- 이상) 회사채·국채. 펀드 안전자산 비중용. 정크본드 불매.,주로 헷징. 일부 ETF 선물로 섹터 비중 조정. 투기적 숏 포지션은 제한적.,펀드 수익률이 벤치마크(코스피/S&P500)를 이겨야 고객 자금이 유입됨. 따라서 주도주 추종이 핵심. 하지만 원본 손실 시 환매 급증 위험으로 파생상품은 헷징 위주로 제한.,스위스 프라이빗 뱅크. 보수적 가치 투자.
LP-OS-35,LP,Elliott Management,PE_HEDGE,사모펀드,ACTIVE,액티브,OVERSEAS,MOMENTUM,모멘텀 가속형,200000000000000,200조,0.92,0.16,,99.0,0.95,0.85,53.6,10.5,34.3,9.8,고수익채 (정크본드),투기 (방향성 베팅),롱숏 전략. 강세주 매수·약세주 공매도. 모멘텀 타기. 레버리지 활용. 변동성이 수익의 원천.,고수익채(정크본드·딜런스드 디스트레스드 채권) 매입. 부도 위험이 높지만 수익률도 높은 채권 선호. 일부 헷징용 CDS 보유.,공격적 투기. 레버리지 옵션·크레딧 디폴트 스왑(CDS). 방향성 베팅 적극. 숏 선물로 하락 베팅. 변동성 매매(VIX)도 활용.,"헤지펀드는 절대 수익(Absolute Return)이 유일한 목표. 벤치마크 없음. 고객이 위험을 감수할 각오가 되어 있으므로 파생상품·정크본드 비율이 가장 높음. 단, 리스크 관리를 위해 일부 헷징은 병행.",공격적 행동주의 펀드. 모멘텀+변동성 먹음.
